Year,Region,Average Median Sale Price,Average Median Sale to List Ratio
2010,"Concord, NH",,
2010,"Corpus Christi, TX",131801.59615384616,
2010,"Crestview, FL",193369.52427184465,
2010,"Dallas, TX",145940.97115384616,
2010,"Daphne, AL",142826.3777777778,
2010,"Davenport, IA",106911.18269230769,
2010,"Dayton, OH",96464.45192307692,
2010,"Deltona, FL",113997.10784313726,
2010,"Denver, CO",210427.83653846153,
2010,"Des Moines, IA",128972.65384615384,
2010,"Detroit, MI",75140.57692307692,
2010,"Duluth, MN",114473.38461538461,
2010,"Durham, NC",177047.16346153847,
2010,"El Paso, TX",128256.33653846153,
2010,"Eugene, OR",197083.78846153847,
2010,"Fayetteville, AR",118024.54807692308,
2010,"Fayetteville, NC",121982.42307692308,
2010,"Flint, MI",65244.557692307695,
2010,"Fort Collins, CO",217320.10576923078,
2010,"Fresno, CA",154298.1826923077,
2010,"Grand Rapids, MI",95847.02884615384,
2010,"Greeley, CO",159853.76923076922,
2010,"Greensboro, NC",118154.75961538461,
2010,"Greenville, SC",125334.24509803922,
2010,"Harrisburg, PA",149961.29807692306,
2010,"Hartford, CT",219056.4326923077,
2010,"Hickory, NC",106132.75,
2010,"Hilton Head Island, SC",,
2010,"Houston, TX",148062.52884615384,
2010,"Huntsville, AL",,
2010,"Indianapolis, IN",117229.42307692308,
2010,"Jacksonville, FL",139355.50961538462,
2010,"Jacksonville, NC",,
2010,"Kansas City, MO",140227.15384615384,
2010,"Killeen, TX",112980.46153846153,
2010,"Knoxville, TN",123758.88461538461,
2010,"Lake Havasu City, AZ",,
2010,"Lakeland, FL",94772.83653846153,
2010,"Lancaster, PA",164066.4423076923,
2010,"Lansing, MI",78913.79807692308,
2010,"Las Vegas, NV",132509.5436893204,
2010,"Lexington, KY",143587.60784313726,
2010,"Lincoln, NE",,
2010,"Little Rock, AR",146732.51923076922,
2010,"Los Angeles, CA",371377.48076923075,
2010,"Louisville, KY",128043.75961538461,
2010,"Lubbock, TX",114077.31730769231,
2010,"Madison, WI",191808.40384615384,
2010,"Memphis, TN",112610.85576923077,
2010,"Miami, FL",155580.33653846153,
2010,"Milwaukee, WI",171016.54807692306,
2010,"Minneapolis, MN",174575.09615384616,
2010,"Modesto, CA",143114.25961538462,
2010,"Myrtle Beach, SC",152937.625,
2010,"Naples, FL",,
2010,"Nashville, TN",146248.64423076922,
2010,"New Haven, CT",198637.90384615384,
2010,"New Orleans, LA",,
2010,"New York, NY",355877.1826923077,
2010,"North Port, FL",146011.72115384616,
2010,"Ogden, UT",176489.0673076923,
2010,"Oklahoma City, OK",105738.625,
2010,"Omaha, NE",125523.01923076923,
2010,"Orlando, FL",120093.64423076923,
2010,"Oxnard, CA",388263.8846153846,
2010,"Palm Bay, FL",105990.14423076923,
2010,"Panama City, FL",,
2010,"Pensacola, FL",125061.81730769231,
2010,"Peoria, IL",103263.21153846153,
2010,"Philadelphia, PA",196700.50961538462,
2010,"Phoenix, AZ",125960.67307692308,
2010,"Pittsburgh, PA",110825.47115384616,
2010,"Port St. Lucie, FL",108978.75,
2010,"Portland, ME",205710.66346153847,
2010,"Portland, OR",232547.59615384616,
2010,"Poughkeepsie, NY",,
